
==============================================================================
ASSIGNMENTS  (graded work + graded quizzes)  (233)
==============================================================================
     266640  Semester 2 Final Exam                                         https://loyolahs.instructure.com/courses/6624/assignments/266640
     266553  Exam 1 Raw Multiple Choice Score                              https://loyolahs.instructure.com/courses/6624/assignments/266553
     266552  Exam 1 Free Response                                          https://loyolahs.instructure.com/courses/6624/assignments/266552
     266557  Exam 2 (chapter 3) MC                                         https://loyolahs.instructure.com/courses/6624/assignments/266557
     266558  Exam 2 Free Response                                          https://loyolahs.instructure.com/courses/6624/assignments/266558
     266551  Exam 1 (Chapters 1 & 2)                                       https://loyolahs.instructure.com/courses/6624/assignments/266551
     266563  Exam 3 (chapter 4&5) MC                                       https://loyolahs.instructure.com/courses/6624/assignments/266563
     266562  Exam 3 (chapter 4&5) Free Response                            https://loyolahs.instructure.com/courses/6624/assignments/266562
     266637  Semester 1 Final Exam 2026                                    https://loyolahs.instructure.com/courses/6624/assignments/266637
     266556  Exam 2 (Ch. 3)                                                https://loyolahs.instructure.com/courses/6624/assignments/266556
     266568  Exam 4 (Chapters 10 - 13)                                     https://loyolahs.instructure.com/courses/6624/assignments/266568
     266561  Exam 3 (ch. 4-5)                                              https://loyolahs.instructure.com/courses/6624/assignments/266561
     266573  Exam 5 (Chapter 14)                                           https://loyolahs.instructure.com/courses/6624/assignments/266573
     266638  Semester 1 Final Exam 2026                                    https://loyolahs.instructure.com/courses/6624/assignments/266638
     266581  Exam 7 (chapters 19, 20, 21)                                  https://loyolahs.instructure.com/courses/6624/assignments/266581
     266641  Semester 2 Final Exam, Curved                                 https://loyolahs.instructure.com/courses/6624/assignments/266641
     266554  Exam 1 Review - Build On                                      https://loyolahs.instructure.com/courses/6624/assignments/266554
     266555  Exam 1 Review - Not Build On                                  https://loyolahs.instructure.com/courses/6624/assignments/266555
     266570  Exam 4 MC                                                     https://loyolahs.instructure.com/courses/6624/assignments/266570
     266569  Exam 4 FR                                                     https://loyolahs.instructure.com/courses/6624/assignments/266569
     266576  Exam 6 (Chapters 15 and 16)                                   https://loyolahs.instructure.com/courses/6624/assignments/266576
     266578  Exam 6 MC                                                     https://loyolahs.instructure.com/courses/6624/assignments/266578
     266577  Exam 6 FR                                                     https://loyolahs.instructure.com/courses/6624/assignments/266577
     266583  Exam 7 Free Response                                          https://loyolahs.instructure.com/courses/6624/assignments/266583
     266584  Exam 7 Multiple Choice                                        https://loyolahs.instructure.com/courses/6624/assignments/266584
     266595  Introduction                                                  https://loyolahs.instructure.com/courses/6624/assignments/266595
     266413  1.1, Material Classification, Daily Homework                  https://loyolahs.instructure.com/courses/6624/assignments/266413
     266415  1.4 to 1.5 units and sig figs, Daily Homework                 https://loyolahs.instructure.com/courses/6624/assignments/266415
     266417  1.5, operations with sig figs, Daily Homework                 https://loyolahs.instructure.com/courses/6624/assignments/266417
     266419  1.6, Dimensional analysis part 1, Daily Homework              https://loyolahs.instructure.com/courses/6624/assignments/266419
     266421  1.6, Dimensional analysis part 2, Daily Homework              https://loyolahs.instructure.com/courses/6624/assignments/266421
     266423  1.6, Dimensional analysis part 3, Daily Homework              https://loyolahs.instructure.com/courses/6624/assignments/266423
     266424  10.2 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266424
     266427  10.3 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266427
     266428  10.4 - 10.5 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266428
     266430  10.6 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266430
     266432  10.7 - 10.8 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266432
     266434  11.1 - 11.3 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266434
     266436  11.4 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266436
     266438  11.5 and 11.6 Daily Homework                                  https://loyolahs.instructure.com/courses/6624/assignments/266438
     266440  13.1 - 13.4 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266440
     266442  13.5 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266442
     266444  14.1 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266444
     266446  14.3 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266446
     266448  14.5 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266448
     266450  14.6 and 14.7 Daily Homework                                  https://loyolahs.instructure.com/courses/6624/assignments/266450
     266452  15.1 to 15.2 Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266452
     266455  15.4 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266455
     266457  15.5 - 15.6 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266457
     266459  15.7 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266459
     266461  16.1 - 16.2, Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266461
     266463  16.10 and 16.5, Daily Homework                                https://loyolahs.instructure.com/courses/6624/assignments/266463
     266466  16.4 Daily Homework, pH calculations                          https://loyolahs.instructure.com/courses/6624/assignments/266466
     266467  16.6 Daily Homework, Weak Acid                                https://loyolahs.instructure.com/courses/6624/assignments/266467
     266470  16.7 Daily Homework, Weak Bases and buffers                   https://loyolahs.instructure.com/courses/6624/assignments/266470
     266472  19.4 to 19.6 Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266472
     266474  19.7 Daily Homework                                           https://loyolahs.instructure.com/courses/6624/assignments/266474
     266484  20.3 - 20.4, Daily Homework                                   https://loyolahs.instructure.com/courses/6624/assignments/266484
     266486  20.4 - 20.5 Daily Homework                                    https://loyolahs.instructure.com/courses/6624/assignments/266486
     266487  21 Daily Homework                                             https://loyolahs.instructure.com/courses/6624/assignments/266487
     266490  22, Daily Homework, Organic compounds                         https://loyolahs.instructure.com/courses/6624/assignments/266490
     266547  Daily Homework, 19.2 and 19.3                                 https://loyolahs.instructure.com/courses/6624/assignments/266547
     266546  Daily Homework 20.1 - 20.2                                    https://loyolahs.instructure.com/courses/6624/assignments/266546
     266475  2.1, atomic structure part 1, Daily Homework                  https://loyolahs.instructure.com/courses/6624/assignments/266475
     266477  2.2-2.5, atomic structure part 2, Daily Homework              https://loyolahs.instructure.com/courses/6624/assignments/266477
     266480  2.2-2.5, atomic weight part 3, Daily Homework                 https://loyolahs.instructure.com/courses/6624/assignments/266480
     266481  2.6, Nomenclature part 1.                                     https://loyolahs.instructure.com/courses/6624/assignments/266481
     266482  2.6, Nomenclature part 2.                                     https://loyolahs.instructure.com/courses/6624/assignments/266482
     266483  2.6, Nomenclature part 3.                                     https://loyolahs.instructure.com/courses/6624/assignments/266483
     266491  3.1 Balancing Equations, Daily Homework                       https://loyolahs.instructure.com/courses/6624/assignments/266491
