id,name,group,points,published,due_date,semester,notes
266640,Semester 2 Final Exam,Exams,150.0,False,,,"NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266553,Exam 1 Raw Multiple Choice Score,Exams,23.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266552,Exam 1 Free Response,Exams,10.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266557,Exam 2 (chapter 3) MC,Exams,16.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266558,Exam 2 Free Response,Exams,15.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266551,Exam 1 (Chapters 1 & 2),Exams,100.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266563,Exam 3 (chapter 4&5) MC,Exams,20.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266562,Exam 3 (chapter 4&5) Free Response,Exams,20.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266637,Semester 1 Final Exam 2026,Exams,60.0,False,,,"NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266556,Exam 2 (Ch. 3),Exams,100.0,False,,,"NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266568,Exam 4 (Chapters 10 - 13),Exams,85.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266561,Exam 3 (ch. 4-5),Exams,100.0,False,,,"NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266573,Exam 5 (Chapter 14),Exams,45.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266638,Semester 1 Final Exam 2026,Exams,150.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266581,"Exam 7 (chapters 19, 20, 21)",Exams,85.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266641,"Semester 2 Final Exam, Curved",Exams,150.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266554,Exam 1 Review - Build On,Exams,0.0,False,,,"0 points; NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266555,Exam 1 Review - Not Build On,Exams,0.0,False,,,"0 points; NO DUE DATE — could not assign a semester, excluded from totals; unpublished"
266570,Exam 4 MC,Exams,22.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266569,Exam 4 FR,Exams,25.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266576,Exam 6 (Chapters 15 and 16),Exams,85.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266578,Exam 6 MC,Exams,23.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
266577,Exam 6 FR,Exams,20.0,True,,,"NO DUE DATE — could not assign a semester, excluded from totals"
